device_id,user_id,device_type,os_version,first_used_date
D0000001,U000001,Gaming Console,v1,2026-07-01
D0000002,U000001,Smart TV,latest,2026-07-01
D0000003,U000002,Mobile - Android,v2,2026-02-28
D0000004,U000003,Desktop - Web,latest,2026-04-10
D0000005,U000003,Smart TV,latest,2026-04-06
D0000006,U000003,Gaming Console,v2,2026-04-12
D0000007,U000004,Smart TV,v1,2025-04-18
D0000008,U000005,Tablet,v3,2024-07-15
D0000009,U000006,Smart TV,latest,2022-06-23
D0000010,U000006,Desktop - Web,latest,2022-06-17
D0000011,U000007,Tablet,v1,2024-06-05
D0000012,U000007,Smart TV,v1,2024-05-24
D0000013,U000007,Desktop - Web,v3,2024-06-04
D0000014,U000007,Mobile - Android,v2,2024-05-24
D0000015,U000008,Mobile - Android,v3,2025-10-31
D0000016,U000008,Mobile - iOS,v2,2025-11-04
D0000017,U000009,Mobile - iOS,v2,2025-04-19
D0000018,U000009,Smart TV,v2,2025-04-14
D0000019,U000009,Mobile - Android,v2,2025-04-07
D0000020,U000009,Gaming Console,v1,2025-04-16
D0000021,U000010,Tablet,latest,2024-03-12
D0000022,U000010,Smart TV,v2,2024-03-07
D0000023,U000010,Mobile - iOS,latest,2024-03-10
D0000024,U000010,Gaming Console,latest,2024-03-03
D0000025,U000011,Mobile - iOS,latest,2025-03-09
D0000026,U000011,Smart TV,v2,2025-03-11
D0000027,U000012,Desktop - Web,latest,2024-09-30
D0000028,U000012,Tablet,v2,2024-09-23
D0000029,U000012,Mobile - Android,v3,2024-10-01
D0000030,U000013,Mobile - iOS,v1,2026-06-27
D0000031,U000013,Mobile - Android,v1,2026-06-21
D0000032,U000013,Smart TV,latest,2026-06-25
D0000033,U000014,Desktop - Web,latest,2025-10-05
D0000034,U000014,Mobile - iOS,v1,2025-10-04
D0000035,U000015,Mobile - iOS,latest,2023-01-18
D0000036,U000015,Gaming Console,v3,2023-01-08
D0000037,U000016,Smart TV,v2,2023-01-18
D0000038,U000016,Desktop - Web,latest,2023-01-13
D0000039,U000016,Tablet,latest,2023-01-11
D0000040,U000017,Smart TV,v3,2024-06-26
D0000041,U000018,Desktop - Web,v3,2026-07-01
D0000042,U000019,Desktop - Web,latest,2025-04-18
D0000043,U000019,Mobile - iOS,v3,2025-04-19
D0000044,U000019,Gaming Console,latest,2025-04-19
D0000045,U000020,Gaming Console,v3,2025-09-28
D0000046,U000020,Mobile - Android,v1,2025-10-07
D0000047,U000021,Mobile - iOS,v3,2025-11-14
D0000048,U000021,Desktop - Web,v3,2025-11-24
D0000049,U000022,Smart TV,latest,2026-03-26
D0000050,U000023,Desktop - Web,v2,2025-05-19
D0000051,U000023,Smart TV,v3,2025-05-14
D0000052,U000023,Mobile - Android,v2,2025-04-30
D0000053,U000024,Desktop - Web,v3,2023-05-07
D0000054,U000025,Mobile - iOS,v2,2025-03-19
D0000055,U000025,Desktop - Web,v1,2025-03-20
D0000056,U000026,Desktop - Web,v1,2024-08-07
D0000057,U000026,Tablet,v3,2024-07-26
D0000058,U000027,Desktop - Web,v2,2026-04-20
D0000059,U000027,Gaming Console,v2,2026-04-22
D0000060,U000027,Mobile - iOS,v2,2026-04-07
D0000061,U000027,Mobile - Android,latest,2026-04-19
