subscription_id,user_id,plan_type,monthly_price_usd,billing_cycle,start_date,end_date,status,auto_renew,cancellation_reason,is_free_trial
S0000001,U000001,Standard,15.49,Monthly,2026-06-23,2026-06-30,Active,True,,False
S0000002,U000002,Standard,15.49,Monthly,2026-02-17,2026-06-30,Active,True,,True
S0000003,U000003,Standard,15.49,Monthly,2026-04-01,2026-05-01,Cancelled,True,Not enough content,False
S0000004,U000003,Premium,22.99,Monthly,2026-06-05,2026-06-30,Active,False,,False
S0000005,U000004,Mobile,3.99,Monthly,2025-04-01,2026-04-25,Cancelled,True,Not enough content,True
S0000006,U000005,Standard,15.49,Monthly,2024-06-27,2024-11-20,Cancelled,False,Low usage,True
S0000007,U000005,Basic,6.99,Monthly,2024-12-18,2026-06-30,Active,True,,False
S0000008,U000006,Standard,15.49,Monthly,2022-06-04,2023-01-01,Cancelled,True,Temporary pause,False
S0000009,U000006,Premium,22.99,Monthly,2023-01-16,2024-01-05,Cancelled,True,Low usage,False
S0000010,U000007,Standard,15.49,Monthly,2024-05-20,2024-10-22,Cancelled,True,Found alternative,False
S0000011,U000007,Basic,6.99,Monthly,2024-12-20,2025-01-19,Cancelled,True,Found alternative,False
S0000012,U000007,Basic,6.99,Monthly,2025-08-19,2025-12-26,Cancelled,True,Technical issues,False
S0000013,U000008,Basic,6.99,Monthly,2025-10-19,2025-12-22,Cancelled,True,Price too high,False
S0000014,U000008,Premium,22.99,Monthly,2026-05-06,2026-06-30,Cancelled,True,Price too high,False
S0000015,U000009,Standard,15.49,Monthly,2025-03-31,2025-05-21,Cancelled,True,Price too high,False
S0000016,U000010,Premium,22.99,Monthly,2024-02-27,2024-05-20,Cancelled,True,Low usage,False
S0000017,U000011,Standard,15.49,Monthly,2025-02-21,2025-05-26,Cancelled,True,Technical issues,False
S0000018,U000012,Premium,22.99,Monthly,2024-09-14,2025-01-05,Cancelled,True,Not enough content,False
S0000019,U000013,Standard,15.49,Monthly,2026-06-09,2026-06-30,Cancelled,True,Technical issues,False
S0000020,U000014,Standard,15.49,Monthly,2025-09-21,2026-06-21,Cancelled,True,Low usage,False
S0000021,U000015,Basic,6.99,Monthly,2023-01-02,2023-08-25,Cancelled,True,Found alternative,False
S0000022,U000016,Standard,15.49,Monthly,2023-01-01,2024-02-07,Cancelled,True,Price too high,True
S0000023,U000017,Standard,15.49,Annual,2024-06-18,2026-06-07,Cancelled,True,Price too high,False
S0000024,U000018,Premium,22.99,Monthly,2026-06-21,2026-06-30,Active,True,,True
S0000025,U000019,Standard,15.49,Monthly,2025-04-05,2025-11-03,Cancelled,True,Found alternative,True
S0000026,U000019,Premium,22.99,Annual,2025-11-09,2026-06-30,Active,True,,False
S0000027,U000020,Premium,22.99,Monthly,2025-09-27,2026-02-16,Cancelled,True,Low usage,True
S0000028,U000021,Mobile,3.99,Annual,2025-11-12,2026-02-19,Cancelled,True,Price too high,False
S0000029,U000022,Basic,6.99,Monthly,2026-03-07,2026-06-30,Cancelled,True,Price too high,True
S0000030,U000023,Mobile,3.99,Monthly,2025-04-30,2025-08-07,Cancelled,False,Low usage,False
S0000031,U000024,Basic,6.99,Monthly,2023-04-26,2024-04-18,Cancelled,True,Price too high,True
S0000032,U000025,Standard,15.49,Monthly,2025-03-09,2025-10-20,Cancelled,True,Not enough content,True
S0000033,U000025,Basic,6.99,Monthly,2026-01-02,2026-04-22,Cancelled,True,Temporary pause,False
S0000034,U000026,Premium,22.99,Monthly,2024-07-24,2024-11-12,Cancelled,True,Price too high,False
S0000035,U000026,Mobile,3.99,Monthly,2024-11-28,2026-02-14,Cancelled,True,Not enough content,False
S0000036,U000027,Basic,6.99,Monthly,2026-04-03,2026-06-30,Active,False,,False
S0000037,U000028,Mobile,3.99,Annual,2024-11-12,2025-01-03,Cancelled,True,Not enough content,False
S0000038,U000028,Standard,15.49,Monthly,2025-06-03,2026-06-03,Cancelled,True,Price too high,False
S0000039,U000029,Standard,15.49,Monthly,2024-03-31,2024-05-18,Cancelled,True,Price too high,False
