user_id,signup_date,country,age,gender,acquisition_channel,signup_device,referral_user_id,campaign_id,email_opt_in
U000001,2026-06-23,Nigeria,29,Male,Organic,Smart TV,,CMP0036,False
U000002,2026-02-17,Nigeria,20,Male,Organic,Smart TV,,CMP0013,False
U000003,2026-04-01,Philippines,16,Other,Organic,Smart TV,,CMP0012,False
U000004,2025-04-01,USA,37,Male,Affiliate,Mobile,,CMP0017,True
U000005,2024-06-27,India,33,Female,TV/OTT,Smart TV,,CMP0040,True
U000006,2022-06-04,India,36,Female,Email,Desktop,,CMP0030,True
U000007,2024-05-20,France,23,Male,Organic,Smart TV,,CMP0053,True
U000008,2025-10-19,Germany,33,Female,Paid Search,Mobile,,CMP0055,False
U000009,2025-03-31,Germany,32,Male,Paid Social,Desktop,,CMP0049,True
U000010,2024-02-27,Japan,44,Male,Organic,Mobile,,CMP0027,True
U000011,2025-02-21,Nigeria,40,Male,Affiliate,Smart TV,,CMP0018,False
U000012,2024-09-14,Brazil,24,Female,Organic,Tablet,,CMP0005,False
U000013,2026-06-09,Indonesia,37,Male,Influencer,Mobile,,CMP0028,True
U000014,2025-09-21,Australia,24,Male,Paid Social,Mobile,,CMP0027,True
U000015,2023-01-02,Canada,13,Female,Organic,Smart TV,,CMP0027,True
U000016,2023-01-01,Australia,49,Male,Referral,Desktop,,CMP0022,True
U000017,2024-06-18,USA,28,Male,Influencer,Mobile,,CMP0037,True
U000018,2026-06-21,USA,42,Male,Email,Tablet,,CMP0007,True
U000019,2025-04-05,South Africa,25,Male,Organic,Mobile,,CMP0006,False
U000020,2025-09-27,India,23,Male,Paid Social,Smart TV,,CMP0010,True
U000021,2025-11-12,India,26,Female,Organic,Mobile,,CMP0001,False
U000022,2026-03-07,Nigeria,34,Female,Direct,Desktop,,CMP0036,True
U000023,2025-04-30,India,33,Female,Paid Social,Mobile,,CMP0028,True
U000024,2023-04-26,UK,36,Other,Referral,Desktop,,CMP0059,False
U000025,2025-03-09,USA,27,Female,Organic,Desktop,,CMP0043,True
U000026,2024-07-24,Brazil,32,Other,Organic,Mobile,,CMP0054,True
U000027,2026-04-03,USA,23,Male,Paid Social,Mobile,,CMP0004,False
U000028,2024-11-12,USA,46,Male,Paid Social,Smart TV,,CMP0050,True
U000029,2024-03-31,Australia,18,Male,Organic,Mobile,,CMP0024,False
U000030,2024-02-22,Canada,23,Female,Paid Search,Mobile,,CMP0015,True
U000031,2025-11-25,Mexico,27,Female,Paid Search,Mobile,,CMP0032,True
U000032,2026-04-14,USA,55,Female,Organic,Desktop,,CMP0036,False
U000033,2024-08-06,Brazil,39,Female,Organic,Mobile,,CMP0005,True
U000034,2024-11-30,Germany,23,Male,Referral,Desktop,,CMP0009,False
U000035,2026-02-26,India,40,Female,Influencer,Smart TV,,CMP0053,True
U000036,2025-12-29,Canada,37,Female,Referral,Mobile,,CMP0026,False
U000037,2023-08-11,Canada,34,Male,Organic,Desktop,,CMP0057,True
U000038,2026-04-14,USA,38,Female,Organic,Desktop,,CMP0045,True
U000039,2024-01-13,USA,32,Female,Paid Search,Mobile,,CMP0009,True
U000040,2023-02-13,Brazil,33,Male,Organic,Smart TV,,CMP0014,True
U000041,2025-07-27,USA,16,Male,Organic,Mobile,,CMP0011,True
U000042,2022-05-04,UK,46,Female,Organic,Desktop,,CMP0052,True
U000043,2025-09-10,USA,27,Female,Paid Social,Smart TV,,CMP0020,True
U000044,2026-02-23,South Korea,19,Male,Paid Social,Desktop,,CMP0045,True
U000045,2025-04-30,India,26,Female,Organic,Mobile,,CMP0035,True
U000046,2026-02-10,Brazil,27,Male,Paid Search,Desktop,,CMP0040,True
U000047,2024-12-24,Mexico,23,Male,Paid Search,Smart TV,,CMP0031,False
U000048,2024-08-11,India,39,Male,Organic,Desktop,,CMP0054,False
U000049,2025-04-18,Canada,41,Male,Direct,Desktop,,CMP0056,True
U000050,2025-10-27,India,13,Male,Direct,Mobile,,CMP0017,False
U000051,2025-11-24,Brazil,26,Female,Organic,Smart TV,,CMP0003,True
U000052,2025-03-15,India,27,Female,Organic,Mobile,,CMP0057,True
U000053,2026-04-03,USA,30,Other,Organic,Smart TV,,CMP0030,True
U000054,2025-03-24,Indonesia,49,Male,Influencer,Desktop,,CMP0024,True
U000055,2025-06-17,Japan,23,Female,Paid Search,Mobile,,CMP0017,False
U000056,2025-03-23,USA,47,Female,Direct,Smart TV,,CMP0025,False
